,x,y,Distance to goal
0,-3,-3,-0.1866853889752096
1,-2,-3,-0.2834151283233286
2,-1,-3,-0.3653620345611923
3,0,-3,-0.4262582668655146
4,1,-3,-0.48721753298522685
5,2,-3,-0.5623261583807464
6,3,-3,-0.6295557000825256
7,-3,-2,-0.004595929285171163
8,-2,-2,-0.100966662882223
9,-1,-2,-0.19025718977220307
10,0,-2,-0.257354370671222
11,1,-2,-0.3193564577071817
12,2,-2,-0.3993832860678572
13,3,-2,-0.4691576095611141
14,-3,-1,0.1770197893562555
15,-2,-1,0.07499436371310042
16,-1,-1,-0.019502340517256134
17,0,-1,-0.0888489061682974
18,1,-1,-0.1557745373434737
19,2,-1,-0.23648631293168987
20,3,-1,-0.31121623885806526
21,-3,0,0.3073487970579354
22,-2,0,0.20615219914742078
23,-1,0,0.10757343953822185
24,0,0,0.035258098023885354
25,1,0,-0.034991293439515236
26,2,0,-0.11812940858606369
27,3,0,-0.1951317602103133
28,-3,1,0.39755733624108114
29,-2,1,0.2925617615418976
30,-1,1,0.1949383400221869
31,0,1,0.11925326287423738
32,1,1,0.047201055177548856
33,2,1,-0.03699956455417086
34,3,1,-0.11695986284489046
35,-3,2,0.5660558028237945
36,-2,2,0.4601012019617339
37,-1,2,0.3546415275251623
38,0,2,0.27615042469015805
39,1,2,0.20481912260281143
40,2,2,0.11364448229980462
41,3,2,0.029661565003043844
42,-3,3,0.7254313155813015
43,-2,3,0.6186972001491977
44,-1,3,0.5099298407518313
45,0,3,0.42865376975719727
46,1,3,0.3474625208087643
47,2,3,0.26195385051258047
48,3,3,0.17166943728388162
