Step,"run0-tac,prop,mobile_rank0 - col rate other","run0-tac,prop,mobile_rank0 - col rate self","run0-tac,prop,mobile_rank9 - col rate other","run0-tac,prop,mobile_rank9 - col rate self","run0-tac,prop,mobile_rank8 - col rate other","run0-tac,prop,mobile_rank8 - col rate self","run0-tac,prop,mobile_rank3 - col rate other","run0-tac,prop,mobile_rank3 - col rate self","run0-tac,prop,mobile_rank6 - col rate other","run0-tac,prop,mobile_rank6 - col rate self","run0-tac,prop,mobile_rank7 - col rate other","run0-tac,prop,mobile_rank7 - col rate self","run0-tac,prop,mobile_rank1 - col rate other","run0-tac,prop,mobile_rank1 - col rate self","run0-tac,prop,mobile_rank2 - col rate other","run0-tac,prop,mobile_rank2 - col rate self","run0-tac,prop,mobile_rank4 - col rate other","run0-tac,prop,mobile_rank4 - col rate self"
5000,0.113,0.0002,0.1186,0,0.1186,0,0.1,0,0.0058,0,0.1026,0.0002,0.0064,0.0708,0.0744,0,0.2738,0.0704
10000,0.0112,0.0232,0.1032,0,0.1032,0,0.002,0,0.0282,0,0.1026,0.0232,0.0239,0.0901,0.0586,0,0.2666,0.0704
15000,0.016666666666667,0.0236,0.0844,0.000533333333333,0.0844,0,0.002133333333333,0,0.0236,0,0.1026,0.0236,0.0338,0.138133333333333,0.061933333333333,0,0.256733333333333,0.0484
20000,0.0192,0.0187,0.0685,0.0004,0.0685,0.000533333333333,0.0036,0.0036,0.01815,0.0036,0.1026,0.0187,0.0351,0.1652,0.0612,0,0.2497,0.03795
25000,0.02064,0.01496,0.06112,0.00036,0.06112,0.0004,0.00296,0.00776,0.01452,0.00776,0.1026,0.01496,0.0486,0.18416,0.06228,0,0.23384,0.04096
30000,0.021733333333333,0.012466666666667,0.176069230769231,0.0003,0.176069230769231,0.00036,0.007533333333333,0.024633333333333,0.0121,0.024633333333333,0.1026,0.012466666666667,0.069,0.2091,0.064266666666667,0,0.2139,0.0358
35000,0.031342857142857,0.010971428571429,0.182481481481481,0.002371428571429,0.182481481481481,0.0003,0.006485714285714,0.042914285714286,0.010371428571429,0.042914285714286,0.1026,0.010971428571429,0.091514285714286,0.233114285714286,0.065114285714286,0,0.2084,0.0316
40000,0.040325,0.01055,0.186585714285714,0.002075,0.186585714285714,0.002371428571429,0.005675,0.049825,0.009075,0.049825,0.007025,0.01055,0.122175,0.24345,0.0799,0,0.21065,0.03205
45000,0.049977777777778,0.009377777777778,0.187806896551724,0.002933333333333,0.187806896551724,0.002075,0.005044444444444,0.046133333333333,0.008066666666667,0.046133333333333,0.009822222222222,0.009377777777778,0.134244444444444,0.235111111111111,0.099711111111111,0,0.2,0.029155555555556
50000,0.05814,0.1203,0.189586666666667,0.00434,0.189586666666667,0.002933333333333,0.00454,0.04316,0.00726,0.04316,0.01266,0.00844,0.14448,0.21492,0.12072,0,0.18734,0.02624
55000,0.067127272727273,0.134509090909091,0.194606451612903,0.005345454545455,0.194606451612903,0.00434,0.004127272727273,0.043472727272727,0.006636363636364,0.043472727272727,0.019327272727273,0.007672727272727,0.139163636363636,0.195381818181818,0.145636363636364,0,0.177036363636364,0.025818181818182
60000,0.081233333333333,0.152933333333333,0.1993125,0.0077,0.1993125,0.005345454545455,0.003783333333333,0.062233333333333,0.00865,0.062233333333333,0.025533333333333,0.007033333333333,0.134533333333333,0.1791,0.169433333333333,0,0.168083333333333,0.028566666666667
65000,0.091738461538462,0.186676923076923,0.200587878787879,0.009061538461538,0.200587878787879,0.0077,0.003492307692308,0.066830769230769,0.008430769230769,0.066830769230769,0.030861538461539,0.006492307692308,0.141692307692308,0.165323076923077,0.193923076923077,0,0.160523076923077,0.033169230769231
70000,0.098214285714286,0.220014285714286,0.204035294117647,0.009585714285714,0.204035294117647,0.009061538461538,0.003242857142857,0.070057142857143,0.008528571428571,0.070057142857143,0.035157142857143,0.006028571428571,0.1536,0.153514285714286,0.215928571428571,0,0.153085714285714,0.041257142857143
75000,0.099666666666667,0.256226666666667,0.204268571428571,0.010026666666667,0.204268571428571,0.009585714285714,0.003026666666667,0.08324,0.013813333333333,0.08324,0.03776,0.005626666666667,0.171533333333333,0.14328,0.238826666666667,0,0.14724,0.047026666666667
80000,0.10325,0.2882625,0.206411111111111,0.009425,0.206411111111111,0.010026666666667,1,0.105625,0.022425,0.105625,0.0360375,0.005275,0.1907375,0.134325,0.2555375,0,0.1440875,0.0567
85000,0.107552941176471,0.317917647058823,0.218086486486486,0.008870588235294,0.218086486486486,0.009425,0.002670588235294,0.116388235294118,0.028811764705882,0.116388235294118,0.034094117647059,0.004964705882353,0.207047058823529,0.126423529411765,0.270847058823529,0,0.140670588235294,0.061694117647059
90000,0.108911111111111,0.346644444444444,0.221652631578947,0.008777777777778,0.221652631578947,0.008870588235294,0.002522222222222,0.121866666666667,0.0366,0.121866666666667,0.0322,0.004688888888889,0.221622222222222,0.1194,0.283188888888889,0,0.138644444444444,0.067566666666667
