Step,run0-tac_rank2 - col rate other,run0-tac_rank2 - col rate self,run0-tac_rank4 - col rate other,run0-tac_rank4 - col rate self,run0-tac_rank9 - col rate other,run0-tac_rank9 - col rate self,run0-tac_rank8 - col rate other,run0-tac_rank8 - col rate self,run0-tac_rank5 - col rate other,run0-tac_rank5 - col rate self,run0-tac_rank1 - col rate other,run0-tac_rank1 - col rate self,run0-tac_rank0 - col rate other,run0-tac_rank0 - col rate self,run0-tac_rank3 - col rate other,run0-tac_rank3 - col rate self,run0-tac_rank7 - col rate other,run0-tac_rank7 - col rate self,run0-tac_rank6 - col rate other,run0-tac_rank6 - col rate self
5000,0.1312,0.0478,0.2498,0.0606,0.0078,0,0.0686,0,0.0568,0,0.029,0.0366,0.0512,0,0.2314,0,0.0268,0,0.0462,0
10000,0.1514,0.0676,0.3026,0.0303,0.0365,0.0013,0.1238,0,0.0871,0,0.0705,0.0821,0.0741,0,0.2639,0,0.0876,0,0.0688,0.0002
15000,0.192,0.0462,0.313,0.0284,0.068266666666667,0.0028,0.175733333333333,0,0.131666666666667,0,0.1062,0.118333333333333,0.103466666666667,0,0.277666666666667,0,0.135466666666667,0.000533333333333,0.081,0.000133333333333
20000,0.2259,0.035,0.3436,0.02365,0.11775,0.0021,0.20815,0,0.15625,0.001,0.14175,0.1291,0.142,0,0.2981,0,0.16575,0.0004,0.12575,0.0001
25000,0.25876,0.03432,0.36652,0.02232,0.1504,0.01076,0.2216,0.00012,0.1898,0.0008,0.18372,0.117,0.16928,0,0.31,0,0.19492,0.00036,0.17232,8E-05
30000,0.285766666666667,0.031466666666667,0.370733333333333,0.0246,0.1572,0.019633333333333,0.221566666666667,0.000833333333333,0.209833333333333,0.000666666666667,0.218033333333333,0.135033333333333,0.182166666666667,0.0007,0.313333333333333,0,0.2068,0.0003,0.193933333333333,0.0003
35000,0.292085714285714,0.027257142857143,0.361171428571429,0.022028571428572,0.171057142857143,0.0258,0.235085714285714,0.000742857142857,0.212257142857143,0.001285714285714,0.241542857142857,0.141057142857143,0.190828571428571,0.000914285714286,0.313742857142857,0.000285714285714,0.2224,0.002371428571429,0.207457142857143,0.0004
40000,0.2805,0.024425,0.345425,0.02185,0.17945,0.02755,0.23685,0.00235,0.22525,0.001725,0.252575,0.146575,0.2006,0.0008,0.3231,0.00025,0.236575,0.002075,0.2281,0.0004
45000,0.273288888888889,0.021711111111111,0.331555555555556,0.019466666666667,0.187644444444444,0.027422222222222,0.234311111111111,0.0048,0.222333333333333,0.003822222222222,0.258,0.152466666666667,0.209022222222222,0.000711111111111,0.332222222222222,0.000222222222222,0.250488888888889,0.002933333333333,0.232355555555556,0.003777777777778
50000,0.25824,0.01954,0.31872,0.01752,0.19688,0.03078,0.23648,0.00724,0.22088,0.01064,0.26212,0.1575,0.2124,0.00064,0.33562,0.0002,0.25042,0.00434,0.23454,0.0039
55000,0.247145454545455,0.017763636363636,0.310854545454545,0.015927272727273,0.200345454545455,0.028581818181818,0.234745454545454,0.008109090909091,0.218272727272727,0.010545454545455,0.260872727272727,0.158454545454545,0.218963636363636,0.001090909090909,0.344309090909091,0.000181818181818,0.255309090909091,0.005345454545455,0.243490909090909,0.005763636363636
60000,0.239516666666667,0.016283333333333,0.3169,0.014983333333333,0.202683333333333,0.033316666666667,0.237983333333333,0.00775,0.2333,0.017733333333333,0.256166666666667,0.15825,0.23305,0.001,0.347533333333333,0.000166666666667,0.253883333333333,0.0077,0.249016666666667,0.008383333333333
65000,0.231507692307692,0.004461538461538,0.319615384615385,0.016123076923077,0.207338461538462,0.034276923076923,0.242630769230769,0.008753846153846,0.237430769230769,0.020953846153846,0.2596,0.154030769230769,0.239676923076923,0.000923076923077,0.347030769230769,0.000153846153846,0.263861538461538,0.009061538461538,0.247046153846154,0.007738461538462
70000,0.233657142857143,0.004871428571429,0.324071428571429,0.017328571428572,0.214685714285714,0.036085714285714,0.243914285714286,0.008142857142857,0.240971428571429,0.022685714285714,0.269742857142857,0.1474,0.2488,0.001685714285714,0.342557142857143,0.000142857142857,0.264585714285714,0.009585714285714,0.2479,0.007185714285714
75000,0.22908,0.005093333333333,0.329053333333333,0.01988,0.21816,0.034613333333333,0.2412,0.0076,0.248026666666667,0.030306666666667,0.2812,0.14272,0.252346666666667,0.001573333333333,0.340373333333333,0.000133333333333,0.26808,0.010026666666667,0.246653333333333,0.010426666666667
80000,0.2280375,0.0053375,0.3410625,0.03215,0.223075,0.03265,0.2437125,0.007125,0.2545125,0.0401,0.2817625,0.140675,0.2629,0.002125,0.340125,0.000125,0.2697875,0.009425,0.2484875,0.0140875
85000,0.234,0.008211764705882,0.339035294117647,0.031282352941177,0.223223529411765,0.03164705882353,0.249576470588235,0.006823529411765,0.248541176470588,0.050235294117647,0.282164705882353,0.1394,0.273035294117647,0.002,0.345070588235294,0.000411764705882,0.273011764705882,0.008870588235294,0.255117647058823,0.016070588235294
90000,0.237555555555556,0.008355555555556,0.3368,0.030144444444445,0.222566666666667,0.029888888888889,0.259788888888889,0.0066,0.248988888888889,0.060611111111111,0.287955555555556,0.134977777777778,0.277855555555556,0.001888888888889,0.345655555555556,0.003433333333333,0.280055555555556,0.008777777777778,0.2582,0.015566666666667
95000,0.234968421052632,0.010147368421053,0.336484210526316,0.028557894736842,0.227863157894737,0.028642105263158,0.272768421052632,0.006357894736842,0.248221052631579,0.066442105263158,0.291410526315789,0.130526315789474,0.286326315789474,0.001789473684211,0.345094736842105,0.003294736842105,0.288315789473684,0.008852631578947,0.261578947368421,0.015578947368421
100000,0.23929,0.01415,0.34144,0.03005,0.22931,0.02892,0.27944,0.00604,0.24727,0.07338,0.29549,0.13445,0.28985,0.00172,0.33941,0.00324,0.29593,0.00841,0.27048,0.01514
105000,0.242638095238095,0.0164,0.338428571428571,0.030638095238095,0.238742857142857,0.028561904761905,0.282533333333333,0.005752380952381,0.257352380952381,0.08012380952381,0.293504761904762,0.134761904761905,0.295580952380952,0.001638095238095,0.340504761904762,0.004,0.303980952380952,0.008009523809524,0.281495238095238,0.020104761904762
110000,0.245709090909091,0.018863636363636,0.336963636363636,0.033527272727273,0.236809090909091,0.028018181818182,0.285263636363636,0.005490909090909,0.263063636363636,0.084990909090909,0.296318181818182,0.141463636363636,0.305845454545455,0.001563636363636,0.341590909090909,0.003818181818182,0.310018181818182,0.007645454545455,0.291754545454545,0.0267
115000,0.248165217391304,0.022721739130435,0.342330434782609,0.036539130434783,0.234852173913043,0.027713043478261,0.284469565217391,0.005252173913043,0.273165217391304,0.086486956521739,0.291052173913043,0.140208695652174,0.312391304347826,0.001495652173913,0.343982608695652,0.00384347826087,0.311513043478261,0.00735652173913,0.300330434782609,0.026008695652174
120000,0.248833333333333,0.024916666666667,0.341,0.03705,0.236008333333333,0.026583333333333,0.286558333333333,0.005033333333333,0.280158333333333,0.087475,0.283275,0.136625,0.3151,0.001433333333333,0.349141666666667,0.003683333333333,0.312408333333333,0.00715,0.309383333333333,0.025333333333333
125000,0.25076,0.025672,0.336944,0.03988,0.236224,0.025848,0.290272,0.004832,0.281368,0.090048,0.275224,0.135888,0.319448,0.001376,0.352784,0.003536,0.317904,0.007224,0.31076,0.024392
130000,0.253761538461538,0.0278,0.330769230769231,0.044869230769231,0.241446153846154,0.026492307692308,0.295753846153846,0.004646153846154,0.282807692307692,0.092846153846154,0.266038461538462,0.133938461538462,0.322053846153846,0.001323076923077,0.356169230769231,0.0034,0.323361538461538,0.008415384615385,0.307492307692308,0.023538461538462
135000,0.253992592592593,0.030540740740741,0.332918518518518,0.04797037037037,0.2452,0.029525925925926,0.297259259259259,0.004474074074074,0.284103703703704,0.099651851851852,0.26082962962963,0.137074074074074,0.327822222222222,0.001274074074074,0.358037037037037,0.003274074074074,0.325555555555556,0.009303703703704,0.306718518518518,0.022733333333333
140000,0.25345,0.033828571428572,0.334571428571429,0.049478571428572,0.247142857142857,0.030878571428572,0.298764285714286,0.004314285714286,0.281628571428571,0.101314285714286,0.254864285714286,0.137735714285714,0.332071428571429,0.001228571428571,0.359421428571429,0.003157142857143,0.321914285714286,0.009285714285714,0.303742857142857,0.022164285714286
145000,0.252048275862069,0.038475862068966,0.329641379310345,0.0532,0.249551724137931,0.030779310344828,0.303262068965517,0.004165517241379,0.282965517241379,0.102386206896552,0.249096551724138,0.138675862068966,0.337289655172414,0.001186206896552,0.361027586206897,0.003358620689655,0.318413793103448,0.009910344827586,0.306227586206897,0.022668965517241
150000,0.253786666666667,0.04098,0.324646666666667,0.05686,0.247033333333333,0.03006,0.30518,0.004026666666667,0.279286666666667,0.109526666666667,0.24496,0.008326666666667,0.344253333333333,0.001146666666667,0.36746,0.003246666666667,0.314213333333333,0.010166666666667,0.30714,0.023413333333333
155000,0.254,0.041838709677419,0.321922580645161,0.062238709677419,0.250361290322581,0.031303225806452,0.30958064516129,0.003896774193548,0.275677419354839,0.112864516129032,0.240845161290323,0.011987096774194,0.341864516129032,0.001109677419355,0.367103225806452,0.004664516129032,0.312425806451613,0.012129032258065,0.306696774193548,0.023032258064516
160000,0.25175625,0.0451375,0.320175,0.068975,0.2520375,0.03375625,0.31285625,0.003775,0.27194375,0.1112,0.2375125,0.01775,0.339625,0.001075,0.3654875,0.00476875,0.31313125,0.01364375,0.30215625,0.02334375
165000,0.249927272727273,0.047048484848485,0.322539393939394,0.075466666666667,0.251957575757576,0.034048484848485,0.313254545454545,0.003660606060606,0.271193939393939,0.115163636363636,0.235963636363636,0.017806060606061,0.336309090909091,0.001042424242424,0.359612121212121,0.004624242424242,0.313472727272727,0.016333333333333,0.297581818181818,0.024157575757576
170000,0.247064705882353,0.050264705882353,0.321923529411765,0.080682352941177,0.252564705882353,0.033470588235294,0.314923529411765,0.003552941176471,0.268982352941176,0.115552941176471,0.232147058823529,0.021235294117647,0.332988235294118,0.001011764705882,0.353294117647059,0.004488235294118,0.313505882352941,0.018705882352941,0.292758823529412,0.026288235294118
175000,0.244354285714286,0.052531428571429,0.321908571428571,0.087931428571429,0.251645714285714,0.032714285714286,0.317131428571429,0.003451428571429,0.266234285714286,0.112868571428571,0.22952,0.022365714285714,0.33212,0.000982857142857,0.34928,0.004857142857143,0.310982857142857,0.018502857142857,0.293211428571429,0.030594285714286
180000,0.242066666666667,0.055233333333333,0.323077777777778,0.095916666666667,0.253844444444444,0.032911111111111,0.320938888888889,0.003355555555556,0.263594444444444,0.117366666666667,0.226172222222222,0.027388888888889,0.333355555555556,0.000955555555556,0.347544444444444,0.004722222222222,0.310266666666667,0.0211,0.291188888888889,0.033
185000,0.239778378378378,0.05972972972973,0.320794594594595,0.098443243243243,0.25774054054054,0.034183783783784,0.325918918918919,0.003264864864865,0.262913513513513,0.121897297297297,0.221691891891892,0.02965945945946,0.339832432432432,0.00092972972973,0.345210810810811,0.004594594594595,0.30852972972973,0.022497297297297,0.289427027027027,0.036751351351351
190000,0.237205263157895,0.061163157894737,0.3179,0.1012,0.256315789473684,0.033947368421053,0.330473684210526,0.003178947368421,0.262084210526316,0.128836842105263,0.219326315789474,0.031394736842105,0.344784210526316,0.000905263157895,0.346252631578947,0.004473684210526,0.3045,0.02241052631579,0.293110526315789,0.043726315789474
195000,0.235553846153846,0.063046153846154,0.317389743589744,0.10645641025641,0.255276923076923,0.033076923076923,0.334641025641026,0.003097435897436,0.265558974358974,0.130066666666667,0.215517948717949,0.030953846153846,0.349266666666667,0.000882051282051,0.346041025641026,0.004358974358974,0.301574358974359,0.022712820512821,0.291948717948718,0.048246153846154
200000,0.23408,0.06463,0.315065,0.10974,0.25624,0.033915,0.33844,0.00302,0.26413,0.1319,0.213665,0.03065,0.351535,0.00086,0.34468,0.00425,0.297985,0.024345,0.287605,0.049985
205000,0.233741463414634,0.065439024390244,0.31310243902439,0.112570731707317,0.256365853658537,0.035770731707317,0.340258536585366,0.002946341463415,0.268853658536585,0.135375609756098,0.21289756097561,0.03250243902439,0.35309756097561,0.000839024390244,0.343995121951219,0.004146341463415,0.293448780487805,0.026307317073171,0.284180487804878,0.055931707317073
210000,0.234580952380952,0.069890476190476,0.310157142857143,0.115633333333333,0.258890476190476,0.035457142857143,0.345204761904762,0.00287619047619,0.272419047619048,0.13747619047619,0.21072380952381,0.033238095238095,0.355571428571429,0.000819047619048,0.345395238095238,0.004047619047619,0.288419047619048,0.026809523809524,0.280847619047619,0.060852380952381
215000,0.233767441860465,0.071693023255814,0.30993488372093,0.116748837209302,0.259576744186046,0.0358,0.347246511627907,0.002809302325581,0.269990697674419,0.140162790697674,0.206720930232558,0.03253488372093,0.356809302325581,0.0008,0.346181395348837,0.003953488372093,0.283804651162791,0.027213953488372,0.2804,0.067781395348837
