,Rank,Episode,ep_len,Alpha,rolling mean
0,3,0,38,0.05,38.0
1,3,1,55,0.05,46.5
2,3,2,45,0.05,46.0
3,3,3,54,0.05,48.0
4,3,4,39,0.05,46.2
5,3,5,34,0.05,44.166666666666664
6,3,6,55,0.05,45.714285714285715
7,3,7,41,0.05,45.125
8,3,8,35,0.05,44.0
9,3,9,38,0.05,43.4
10,3,10,35,0.05,42.63636363636363
11,3,11,33,0.05,41.833333333333336
12,3,12,32,0.05,41.07692307692308
13,3,13,36,0.05,40.714285714285715
14,3,14,38,0.05,40.53333333333333
15,3,15,33,0.05,40.2
16,3,16,34,0.05,38.8
17,3,17,40,0.05,38.46666666666667
18,3,18,31,0.05,36.93333333333333
19,3,19,43,0.05,37.2
20,3,20,44,0.05,37.86666666666667
21,3,21,37,0.05,36.666666666666664
22,3,22,36,0.05,36.333333333333336
23,3,23,35,0.05,36.333333333333336
24,3,24,33,0.05,36.0
25,3,25,35,0.05,36.0
26,3,26,39,0.05,36.4
27,3,27,37,0.05,36.733333333333334
28,3,28,28,0.05,36.2
29,3,29,37,0.05,36.13333333333333
30,3,30,37,0.05,36.4
31,3,31,28,0.05,36.0
32,3,32,33,0.05,35.53333333333333
33,3,33,28,0.05,35.333333333333336
34,3,34,28,0.05,34.333333333333336
35,3,35,29,0.05,33.333333333333336
36,3,36,29,0.05,32.8
37,3,37,34,0.05,32.666666666666664
38,3,38,36,0.05,32.733333333333334
39,3,39,30,0.05,32.53333333333333
40,3,40,41,0.05,32.93333333333333
41,3,41,31,0.05,32.4
42,3,42,25,0.05,31.6
43,3,43,27,0.05,31.533333333333335
44,3,44,30,0.05,31.066666666666666
45,3,45,26,0.05,30.333333333333332
46,3,46,25,0.05,30.133333333333333
47,3,47,30,0.05,29.933333333333334
48,3,48,35,0.05,30.4
49,3,49,27,0.05,30.333333333333332
50,3,50,26,0.05,30.133333333333333
51,3,51,30,0.05,30.2
52,3,52,25,0.05,29.6
53,3,53,25,0.05,28.866666666666667
54,3,54,27,0.05,28.666666666666668
55,3,55,32,0.05,28.066666666666666
56,3,56,28,0.05,27.866666666666667
57,3,57,26,0.05,27.933333333333334
58,3,58,24,0.05,27.733333333333334
59,3,59,39,0.05,28.333333333333332
60,3,60,23,0.05,28.133333333333333
61,3,61,26,0.05,28.2
62,3,62,22,0.05,27.666666666666668
63,3,63,24,0.05,26.933333333333334
64,3,64,25,0.05,26.8
65,3,65,26,0.05,26.8
66,3,66,28,0.05,26.666666666666668
67,3,67,26,0.05,26.733333333333334
68,3,68,201,0.05,38.46666666666667
69,3,69,22,0.05,38.13333333333333
70,3,70,24,0.05,37.6
71,3,71,27,0.05,37.53333333333333
72,3,72,22,0.05,37.266666666666666
73,3,73,25,0.05,37.333333333333336
74,3,74,26,0.05,36.46666666666667
75,3,75,21,0.05,36.333333333333336
76,3,76,25,0.05,36.266666666666666
77,3,77,20,0.05,36.13333333333333
78,3,78,23,0.05,36.06666666666667
79,3,79,24,0.05,36.0
80,3,80,25,0.05,35.93333333333333
81,3,81,21,0.05,35.46666666666667
82,3,82,22,0.05,35.2
83,3,83,27,0.05,23.6
84,3,84,25,0.05,23.8
85,3,85,19,0.05,23.466666666666665
86,3,86,23,0.05,23.2
87,3,87,26,0.05,23.466666666666665
88,3,88,24,0.05,23.4
89,3,89,21,0.05,23.066666666666666
90,3,90,21,0.05,23.066666666666666
91,3,91,201,0.05,34.8
92,3,92,25,0.05,35.13333333333333
93,3,93,24,0.05,35.2
94,3,94,20,0.05,34.93333333333333
95,3,95,20,0.05,34.6
96,3,96,25,0.05,34.86666666666667
97,3,97,19,0.05,34.666666666666664
98,3,98,201,0.05,46.266666666666666
99,3,99,21,0.05,46.0
100,3,100,21,0.05,46.13333333333333
101,9,0,58,0.05,58.0
102,9,1,81,0.05,69.5
103,9,2,93,0.05,77.33333333333333
104,9,3,57,0.05,72.25
105,9,4,113,0.05,80.4
106,9,5,67,0.05,78.16666666666667
107,9,6,98,0.05,81.0
108,9,7,75,0.05,80.25
109,9,8,64,0.05,78.44444444444444
110,9,9,70,0.05,77.6
111,9,10,88,0.05,78.54545454545455
112,9,11,107,0.05,80.91666666666667
113,9,12,62,0.05,79.46153846153847
114,9,13,77,0.05,79.28571428571429
115,9,14,68,0.05,78.53333333333333
116,9,15,61,0.05,78.73333333333333
117,9,16,59,0.05,77.26666666666667
118,9,17,72,0.05,75.86666666666666
119,9,18,62,0.05,76.2
120,9,19,51,0.05,72.06666666666666
121,9,20,51,0.05,71.0
122,9,21,47,0.05,67.6
123,9,22,50,0.05,65.93333333333334
124,9,23,59,0.05,65.6
125,9,24,62,0.05,65.06666666666666
126,9,25,39,0.05,61.8
127,9,26,52,0.05,58.13333333333333
128,9,27,42,0.05,56.8
129,9,28,51,0.05,55.06666666666667
130,9,29,51,0.05,53.93333333333333
131,9,30,39,0.05,52.46666666666667
