,Step,rank0,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank6,rank9
131,131,201,101,201,42,201,55,201,62,201,53
132,132,201,69,201,38,201,58,201,52,201,46
133,133,201,42,201,33,201,55,201,65,201,50
134,134,201,76,201,32,201,46,201,59,201,46
135,135,201,88,201,33,201,51,201,195,201,46
136,136,201,63,201,30,201,61,201,82,201,81
137,137,201,43,201,26,201,42,201,140,201,54
138,138,201,42,201,27,201,57,201,57,201,48
139,139,201,141,201,31,201,49,201,58,201,63
140,140,201,47,201,33,201,54,201,67,201,48
141,141,201,89,201,44,201,43,201,61,201,52
142,142,201,37,201,28,201,45,201,53,201,43
143,143,201,46,201,32,201,51,201,68,201,34
144,144,201,93,201,31,201,64,201,60,201,50
145,145,201,89,201,34,201,51,201,59,201,49
146,146,201,97,201,36,201,53,201,81,201,51
147,147,201,71,201,201,201,53,201,59,201,49
148,148,201,65,201,33,201,43,201,71,201,51
149,149,201,34,201,39,201,53,201,79,201,50
150,150,201,49,201,35,201,45,201,72,201,47
151,151,201,139,201,31,201,47,201,46,201,47
152,152,201,97,201,32,201,44,201,60,201,46
153,153,201,71,201,27,201,59,201,66,201,49
154,154,201,96,201,28,201,45,201,51,201,51
155,155,201,41,201,34,201,56,201,50,201,42
156,156,201,48,201,26,201,57,201,201,201,46
157,157,201,42,201,29,201,59,201,108,201,42
158,158,201,37,201,33,201,71,201,62,201,47
159,159,201,44,201,32,201,56,201,58,201,46
160,160,201,60,201,40,201,43,201,37,201,35
161,161,201,88,201,38,201,65,201,102,201,42
162,162,201,42,201,27,201,55,201,58,201,50
163,163,201,37,201,29,201,48,201,65,201,54
164,164,201,48,201,201,201,60,201,64,201,47
165,165,201,73,201,201,201,46,201,58,201,44
166,166,201,37,201,26,201,80,201,66,201,36
167,167,201,66,201,37,201,58,201,58,201,39
168,168,201,25,201,25,201,55,201,56,201,43
169,169,201,26,201,24,201,45,201,48,201,40
170,170,201,63,201,29,201,55,201,79,201,39
171,171,201,32,201,30,201,54,201,45,201,53
172,172,201,74,201,32,201,64,201,49,201,43
173,173,201,37,201,36,201,59,201,53,201,42
174,174,201,74,201,32,201,44,201,53,201,48
175,175,201,39,201,27,201,63,201,201,201,43
176,176,201,46,201,28,201,45,201,46,201,44
177,177,201,30,201,24,201,58,201,83,201,49
178,178,201,96,201,28,201,50,201,54,201,41
179,179,201,42,201,32,201,55,201,53,201,43
180,180,201,50,201,30,201,49,201,44,201,47
181,181,201,50,201,26,201,56,201,57,201,44
182,182,201,32,201,31,201,41,201,52,201,38
183,183,201,28,201,33,201,61,201,57,201,54
184,184,201,31,201,26,201,36,201,45,201,39
185,185,201,30,201,24,201,63,201,64,201,39
186,186,201,38,201,26,201,41,201,50,201,58
187,187,201,53,201,34,201,49,201,42,201,43
188,188,201,30,201,36,201,53,201,53,201,41
189,189,201,33,201,30,201,48,201,201,201,42
190,190,201,31,201,26,201,43,201,49,201,37
191,191,201,29,201,30,201,43,201,201,201,48
192,192,201,57,201,33,201,39,201,52,201,41
193,193,201,57,201,26,201,44,201,201,201,150
194,194,201,30,201,30,201,49,201,57,201,42
195,195,201,29,201,34,201,70,201,201,201,37
196,196,201,33,201,31,201,54,201,201,201,47
197,197,201,36,201,27,201,42,201,52,201,42
198,198,201,56,201,31,201,45,201,69,201,40
199,199,201,33,201,34,201,53,201,53,201,49
200,200,201,28,201,27,201,51,201,53,201,53
201,201,201,34,201,28,201,54,201,70,201,44
202,202,201,42,201,27,201,49,201,61,201,52
203,203,201,60,201,32,201,54,201,46,201,39
204,204,201,31,201,31,201,45,201,42,201,50
205,205,201,26,201,31,201,43,201,56,201,46
206,206,201,28,201,31,201,47,201,41,201,50
207,207,201,32,201,29,201,58,201,44,201,30
208,208,201,97,201,27,201,41,201,46,201,41
209,209,201,30,201,29,201,48,201,53,201,35
210,210,201,46,201,27,201,49,201,59,201,48
211,211,201,27,201,28,201,35,201,63,201,46
212,212,201,27,201,30,201,48,201,50,201,38
213,213,201,52,201,27,201,44,201,51,201,47
214,214,201,31,201,31,201,51,201,201,201,129
215,215,201,26,201,27,201,50,201,38,201,52
216,216,201,35,201,30,201,46,201,48,201,33
217,217,201,63,201,29,201,51,201,44,201,41
218,218,201,28,201,28,201,38,201,37,201,38
219,219,201,50,201,28,201,44,201,201,201,34
220,220,201,30,201,25,201,42,201,38,201,41
221,221,201,28,201,29,201,57,201,51,201,37
222,222,201,31,201,27,201,46,201,201,201,39
223,223,201,32,201,31,201,47,201,46,201,38
224,224,201,33,201,28,201,36,201,47,201,52
225,225,201,51,201,201,201,45,201,67,201,48
226,226,201,44,201,42,201,43,201,48,201,63
227,227,201,28,201,25,201,36,201,48,201,51
228,228,201,38,201,26,201,61,201,45,201,44
229,229,201,34,201,31,201,45,201,49,201,41
230,230,201,32,201,27,201,63,201,69,201,44
231,231,201,26,201,23,201,34,201,53,201,43
232,232,201,36,201,29,201,57,201,50,201,48
233,233,201,35,201,36,201,44,201,43,201,44
234,234,201,25,201,28,201,38,201,45,201,40
235,235,201,37,201,24,201,40,201,40,201,47
236,236,201,56,201,25,201,39,201,53,201,36
237,237,201,38,201,30,201,51,201,55,201,30
238,238,201,29,201,27,201,36,201,41,201,44
239,239,201,26,201,29,201,50,201,75,201,39
240,240,201,30,201,28,201,53,201,41,201,38
